Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,7805889.35,299509.01,843525.90,4082,0,3862,0,7610,0,476,0,33,0.6726972429619532,5160
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,15381861.25,344533.13,132580.00,4116,0,1814,0,9408,0,1494,0,54,0.9383050195709091,13344
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,2482552.23,16090.51,7390.00,322,0,283,0,713,0,82,0,7,0.6162188782386714,756
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,5803161.04,2628623.41,2504466.00,2273,0,721,0,5290,0,757,0,18,0.9314950266260003,7380
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,2898050.16,690017.46,1588947.00,526,0,215,0,1393,0,252,0,34,0.3259510770228663,6384
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,885957.11,376147.30,1067869.00,451,0,254,0,1071,0,206,0,8,0.9638710698625802,2136
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,2775371.56,1467488.79,452557.60,1340,0,863,0,2918,0,374,0,27,0.9099139811761677,3528
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,950928.97,1066691.34,562629.58,966,0,600,0,2168,0,417,0,30,0.8670524791175093,3648
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1731119.30,460369.83,398548.03,817,0,693,0,1471,0,226,0,25,0.8617767342088257,2184
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,14101111.19,0.00,0,4751,0,2485,0,11028,0,1654,48,0.9520038922761718,17904
